,title,publication_info,cited_by
349,[HTML][HTML] Maximizing information from chemical engineering data sets: Applications to machine learning,"A Thebelt, J Wiebe, J Kronqvist, C Tsay… - Chemical Engineering …, 2022 - Elsevier",Cited by 60
350,Machine learning and deep learning for sentiment analysis across languages: A survey,"EM Mercha, H Benbrahim - Neurocomputing, 2023 - Elsevier",Cited by 58
351,[HTML][HTML] Exploring machine learning: a scientometrics approach using bibliometrix and VOSviewer,"DO Oyewola, EG Dada - SN Applied Sciences, 2022 - Springer",Cited by 105
352,[HTML][HTML] Detecting suicidality on social media: Machine learning at rescue,"ST Rabani, AMUD Khanday, QR Khan… - Egyptian Informatics …, 2023 - Elsevier",Cited by 18
353,Is quantum advantage the right goal for quantum machine learning?,"M Schuld, N Killoran - Prx Quantum, 2022 - APS",Cited by 156
354,Truth serum: Poisoning machine learning models to reveal their secrets,"F Tramèr, R Shokri, A San Joaquin, H Le… - Proceedings of the …, 2022 - dl.acm.org",Cited by 105
355,Operationalizing machine learning: An interview study,"S Shankar, R Garcia, JM Hellerstein… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 58
356,Machine learning model towards evaluating data gathering methods in manufacturing and mechanical engineering,"M Amini, K Sharifani, A Rahmani - International Journal of Applied …, 2023 - papers.ssrn.com",Cited by 124
357,[PDF][PDF] Artificial Intelligence and Machine Learning: The Impact of Machine Learning on Predictive Analytics in Healthcare,"H Rehan - Innovative Computer Sciences Journal, 2023 - researchgate.net",Cited by 46
358,Machine learning integrated design for additive manufacturing,"J Jiang, Y Xiong, Z Zhang, DW Rosen - Journal of Intelligent …, 2022 - Springer",Cited by 195
359,Bias mitigation for machine learning classifiers: A comprehensive survey,"M Hort, Z Chen, JM Zhang, M Harman… - ACM Journal on …, 2024 - dl.acm.org",Cited by 107
360,[PDF][PDF] Diabetes Risk Assessment Using Machine Learning: A Comparative Study of Classification Algorithms,"CK Suryadevara - IEJRD-International Multidisciplinary Journal, 2023 - researchgate.net",Cited by 33
361,Internet of Thing and Machine Learning Approach for Agricultural Application: A Review,"P Kolhe, K Kalbande… - 2022 10th International …, 2022 - ieeexplore.ieee.org",Cited by 39
362,[HTML][HTML] Rainfall prediction: A comparative analysis of modern machine learning algorithms for time-series forecasting,"AY Barrera-Animas, LO Oyedele, M Bilal… - Machine Learning with …, 2022 - Elsevier",Cited by 204
363,[HTML][HTML] Empirical method for thyroid disease classification using a machine learning approach,"T Alyas, M Hamid, K Alissa, T Faiz… - BioMed Research …, 2022 - ncbi.nlm.nih.gov",Cited by 73
364,Fetal health classification from cardiotocographic data using machine learning,"A Mehbodniya, AJP Lazar, J Webber… - Expert …, 2022 - Wiley Online Library",Cited by 76
365,[BOOK][B] Applications of machine learning and deep learning on biological data,"F Masoodi, M Quasim, S Bukhari, S Dixit, S Alam - 2023 - books.google.com",Cited by 27
366,[HTML][HTML] Machine learning in microseismic monitoring,"D Anikiev, C Birnie, U bin Waheed, T Alkhalifah… - Earth-Science …, 2023 - Elsevier",Cited by 44
367,Quantum Machine Learning: Scope for real-world problems,"A Jadhav, A Rasool, M Gyanchandani - Procedia Computer Science, 2023 - Elsevier",Cited by 34
368,Identifying disease and diagnosis in females using machine learning,"S Pramanik, SK Bandyopadhyay - … Science and Machine Learning, 2023 - igi-global.com",Cited by 33
369,[HTML][HTML] Machine learning in fundamental electrochemistry: Recent advances and future opportunities,"H Chen, E Kätelhön, RG Compton - Current Opinion in Electrochemistry, 2023 - Elsevier",Cited by 29
370,[PDF][PDF] The role of machine learning in transforming business intelligence,"JP Bharadiya - International Journal of Computing …, 2023 - computersciencejournals.com",Cited by 55
371,[HTML][HTML] Statistical and machine learning methods for spatially resolved transcriptomics data analysis,"Z Zeng, Y Li, Y Li, Y Luo - Genome biology, 2022 - Springer",Cited by 116
372,Machine learning for intelligent energy consumption in smart homes,"A Alzoubi - International Journal of Computations, Information …, 2022 - journals.gaftim.com",Cited by 182
373,Signature methods in machine learning,"T Lyons, AD McLeod - arXiv preprint arXiv:2206.14674, 2022 - arxiv.org",Cited by 38
374,ktrain: A low-code library for augmented machine learning,"AS Maiya - Journal of Machine Learning Research, 2022 - jmlr.org",Cited by 168
375,Incorporating sparse model machine learning in designing cultural heritage landscapes,"P Goodarzi, M Ansari, FP Rahimian… - Automation in …, 2023 - Elsevier",Cited by 16
376,"Modeling, diagnostics, optimization, and control of internal combustion engines via modern machine learning techniques: A review and future directions","M Aliramezani, CR Koch, M Shahbakhti - Progress in Energy and …, 2022 - Elsevier",Cited by 179
377,[HTML][HTML] High school students exploring machine learning and its societal implications: Opportunities and challenges,"MH Kaspersen, KEK Bilstrup, M Van Mechelen… - International Journal of …, 2022 - Elsevier",Cited by 27
378,Recent advances in machine learning for fiber optic sensor applications,"A Venketeswaran, N Lalam… - Advanced Intelligent …, 2022 - Wiley Online Library",Cited by 147
379,Estimating the thermal conductivity of soils using six machine learning algorithms,"KQ Li, Y Liu, Q Kang - International Communications in Heat and Mass …, 2022 - Elsevier",Cited by 69
380,Machine learning-based methods in structural reliability analysis: A review,"SS Afshari, F Enayatollahi, X Xu, X Liang - Reliability Engineering & System …, 2022 - Elsevier",Cited by 221
381,[HTML][HTML] Machine learning algorithms to forecast air quality: a survey,"M Méndez, MG Merayo, M Núñez - Artificial Intelligence Review, 2023 - Springer",Cited by 121
382,[HTML][HTML] Smart farming using machine learning and deep learning techniques,"SKS Durai, MD Shamili - Decision Analytics Journal, 2022 - Elsevier",Cited by 122
383,[HTML][HTML] Machine learning algorithms for monitoring pavement performance,"S Cano-Ortiz, P Pascual-Muñoz… - Automation in …, 2022 - Elsevier",Cited by 62
384,The state of art on the prediction of efficiency and modeling of the processes of pollutants removal based on machine learning,"N Taoufik, W Boumya, M Achak, H Chennouk… - Science of the Total …, 2022 - Elsevier",Cited by 90
385,Towards the next generation of machine learning models in additive manufacturing: A review of process dependent material evolution,"M Parsazadeh, S Sharma, N Dahotre - Progress in Materials Science, 2023 - Elsevier",Cited by 48
386,Predicting preeminent Machine Learning Approach on Stars,"S Manna, V Jalodia, K Kumar, V Tripathi… - 2022 2nd …, 2022 - ieeexplore.ieee.org",Cited by 39
387,[HTML][HTML] A comprehensive review of machine learning algorithms and their application in geriatric medicine: present and future,"RJ Woodman, AA Mangoni - Aging Clinical and Experimental Research, 2023 - Springer",Cited by 38
388,[HTML][HTML] Opening the black box: the promise and limitations of explainable machine learning in cardiology,"J Petch, S Di, W Nelson - Canadian Journal of Cardiology, 2022 - Elsevier",Cited by 353
389,Machine learning in cybersecurity: a comprehensive survey,"D Dasgupta, Z Akhtar, S Sen - The Journal of Defense …, 2022 - journals.sagepub.com",Cited by 215
390,Bias in machine learning models can be significantly mitigated by careful training: Evidence from neuroimaging studies,"R Wang, P Chaudhari… - Proceedings of the …, 2023 - National Acad Sciences",Cited by 64
391,[HTML][HTML] Machine learning and AI technologies for smart wearables,"KP Seng, LM Ang, E Peter, A Mmonyi - Electronics, 2023 - mdpi.com",Cited by 27
392,"Transforming clinical virology with AI, machine learning and deep learning: a comprehensive review and outlook","A Padhi, A Agarwal, SK Saxena, CDS Katoch - VirusDisease, 2023 - Springer",Cited by 22
393,Machine learning predicts and optimizes hydrothermal liquefaction of biomass,"A Shafizadeh, H Shahbeig, MH Nadian, H Mobli… - Chemical Engineering …, 2022 - Elsevier",Cited by 103
394,[HTML][HTML] Precision irrigation management using machine learning and digital farming solutions,"EA Abioye, O Hensel, TJ Esau, O Elijah, MSZ Abidin… - AgriEngineering, 2022 - mdpi.com",Cited by 161
395,A survey of the opportunities and challenges of supervised machine learning in maritime risk analysis,"A Rawson, M Brito - Transport Reviews, 2023 - Taylor & Francis",Cited by 70
396,An optimized framework for breast cancer classification using machine learning,"E Michael, H Ma, H Li, S Qi - BioMed Research International, 2022 - Wiley Online Library",Cited by 60
397,A method for improving prediction of human heart disease using machine learning algorithms,"A Saboor, M Usman, S Ali, A Samad… - Mobile Information …, 2022 - Wiley Online Library",Cited by 105
398,"Advances in computational intelligence of polymer composite materials: machine learning assisted modeling, analysis and design","A Sharma, T Mukhopadhyay, SM Rangappa… - … Methods in Engineering, 2022 - Springer",Cited by 141
399,"[HTML][HTML] The classification method study of crops remote sensing with deep learning, machine learning, and Google Earth engine","J Yao, J Wu, C Xiao, Z Zhang, J Li - Remote Sensing, 2022 - mdpi.com",Cited by 49
400,Molecular representations for machine learning applications in chemistry,"S Raghunathan, UD Priyakumar - International Journal of …, 2022 - Wiley Online Library",Cited by 54
401,Machine learning in the analysis of biomolecular simulations,"S Kaptan, I Vattulainen - Advances in physics: X, 2022 - Taylor & Francis",Cited by 23
402,The applications of machine learning techniques in medical data processing based on distributed computing and the Internet of Things,"S Aminizadeh, A Heidari, S Toumaj, M Darbandi… - Computer methods and …, 2023 - Elsevier",Cited by 120
403,[HTML][HTML] Technology readiness levels for machine learning systems,"A Lavin, CM Gilligan-Lee, A Visnjic, S Ganju… - Nature …, 2022 - nature.com",Cited by 111
404,[HTML][HTML] Advances in application of machine learning to life cycle assessment: a literature review,"A Ghoroghi, Y Rezgui, I Petri, T Beach - The International Journal of Life …, 2022 - Springer",Cited by 74
405,Secure preschool education using machine learning and metaverse technologies,"Q Zhang - Applied Artificial Intelligence, 2023 - Taylor & Francis",Cited by 29
406,[HTML][HTML] Evaluating pointwise reliability of machine learning prediction,"G Nicora, M Rios, A Abu-Hanna, R Bellazzi - Journal of Biomedical …, 2022 - Elsevier",Cited by 64
407,Machine learning in bioprocess development: from promise to practice,"LM Helleckes, J Hemmerich, W Wiechert… - Trends in …, 2023 - cell.com",Cited by 52
408,[HTML][HTML] Mathematical and machine learning models for groundwater level changes: a systematic review and bibliographic analysis,"S Afrifa, T Zhang, P Appiahene, V Varadarajan - Future Internet, 2022 - mdpi.com",Cited by 46
409,Translating promise into practice: a review of machine learning in suicide research and prevention,"OJ Kirtley, K van Mens, M Hoogendoorn… - The Lancet …, 2022 - thelancet.com",Cited by 45
410,[HTML][HTML] Machine learning in sports science: challenges and opportunities,"C Richter, M O'Reilly, E Delahunt - Sports Biomechanics, 2024 - Taylor & Francis",Cited by 52
411,Trends in vision-based machine learning techniques for plant disease identification: A systematic review,"PS Thakur, P Khanna, T Sheorey, A Ojha - Expert Systems with …, 2022 - Elsevier",Cited by 120
412,"[HTML][HTML] Application of deep learning and machine learning models to improve healthcare in sub-Saharan Africa: Emerging opportunities, trends and implications","E Mbunge, J Batani - Telematics and Informatics Reports, 2023 - Elsevier",Cited by 27
413,Machine learning for predicting battery capacity for electric vehicles,"J Zhao, H Ling, J Liu, J Wang, AF Burke, Y Lian - ETransportation, 2023 - Elsevier",Cited by 77
414,[HTML][HTML] A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,"D Das, SK Biswas, S Bandyopadhyay - Multimedia Tools and Applications, 2022 - Springer",Cited by 91
415,[HTML][HTML] Lung cancer risk prediction with machine learning models,"E Dritsas, M Trigka - Big Data and Cognitive Computing, 2022 - mdpi.com",Cited by 86
416,[PDF][PDF] Machine Learning for Modeling and Control of Industrial Clarifier Process.,"M Rajalakshmi, V Saravanan… - … Automation & Soft …, 2022 - researchgate.net",Cited by 95
417,Enhancing the prediction of student performance based on the machine learning XGBoost algorithm,"A Asselman, M Khaldi, S Aammou - Interactive Learning …, 2023 - Taylor & Francis",Cited by 184
418,"[HTML][HTML] A comprehensive review on machine learning in healthcare industry: classification, restrictions, opportunities and challenges","Q An, S Rahman, J Zhou, JJ Kang - Sensors, 2023 - mdpi.com",Cited by 88
419,[HTML][HTML] Machine learning and deep learning approach for medical image analysis: diagnosis to detection,"M Rana, M Bhushan - Multimedia Tools and Applications, 2023 - Springer",Cited by 135
420,"Internet of things (iot) security intelligence: a comprehensive overview, machine learning solutions and research directions","IH Sarker, AI Khan, YB Abushark, F Alsolami - Mobile Networks and …, 2023 - Springer",Cited by 276
421,Application of machine learning algorithms in municipal solid waste management: A mini review,"W Xia, Y Jiang, X Chen, R Zhao - Waste Management & …, 2022 - journals.sagepub.com",Cited by 139
422,Graph data augmentation for graph machine learning: A survey,"T Zhao, W Jin, Y Liu, Y Wang, G Liu… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 102
423,[HTML][HTML] Review on interpretable machine learning in smart grid,"C Xu, Z Liao, C Li, X Zhou, R Xie - Energies, 2022 - mdpi.com",Cited by 49
424,Machine learning hidden symmetries,"Z Liu, M Tegmark - Physical Review Letters, 2022 - APS",Cited by 58
425,Applications of machine learning to BIM: A systematic literature review,"A Zabin, VA González, Y Zou, R Amor - Advanced Engineering Informatics, 2022 - Elsevier",Cited by 87
426,Unlocking edge intelligence through tiny machine learning (TinyML),"SAR Zaidi, AM Hayajneh, M Hafeez, QZ Ahmed - IEEE Access, 2022 - ieeexplore.ieee.org",Cited by 52
427,[HTML][HTML] Improved machine learning algorithm for predicting ground state properties,"L Lewis, HY Huang, VT Tran, S Lehner, R Kueng… - nature …, 2024 - nature.com",Cited by 32
428,[HTML][HTML] A review and comparative study of cancer detection using machine learning: SBERT and SimCSE application,"M Mokoatle, V Marivate, D Mapiye, R Bornman… - BMC …, 2023 - Springer",Cited by 25
429,Combining machine learning and semantic web: A systematic mapping study,"A Breit, L Waltersdorfer, FJ Ekaputra, M Sabou… - ACM Computing …, 2023 - dl.acm.org",Cited by 53
430,[PDF][PDF] A machine learning model for skin disease classification using convolution neural network,"VR Allugunti - … Journal of Computing, Programming and Database …, 2022 - researchgate.net",Cited by 221
431,[HTML][HTML] Machine learning research trends in Africa: a 30 years overview with bibliometric analysis review,"AE Ezugwu, ON Oyelade, AM Ikotun… - … Methods in Engineering, 2023 - Springer",Cited by 20
432,Machine learning-based marker for coronary artery disease: derivation and validation in two longitudinal cohorts,"IS Forrest, BO Petrazzini, Á Duffy, JK Park… - The Lancet, 2023 - thelancet.com",Cited by 80
433,Edge computing with artificial intelligence: A machine learning perspective,"H Hua, Y Li, T Wang, N Dong, W Li, J Cao - ACM Computing Surveys, 2023 - dl.acm.org",Cited by 213
434,Forecasting of solar radiation using different machine learning approaches,"V Demir, H Citakoglu - Neural Computing and Applications, 2023 - Springer",Cited by 74
435,Prediction of loan behaviour with machine learning models for secure banking,"M Anand, A Velu, P Whig - Journal of Computer Science and …, 2022 - icsejournal.com",Cited by 102
436,Integrating scientific knowledge with machine learning for engineering and environmental systems,"J Willard, X Jia, S Xu, M Steinbach, V Kumar - ACM Computing Surveys, 2022 - dl.acm.org",Cited by 398
437,Membership inference attacks on machine learning: A survey,"H Hu, Z Salcic, L Sun, G Dobbie, PS Yu… - ACM Computing Surveys …, 2022 - dl.acm.org",Cited by 440
438,[HTML][HTML] Effective heart disease prediction using machine learning techniques,"CM Bhatt, P Patel, T Ghetia, PL Mazzeo - Algorithms, 2023 - mdpi.com",Cited by 177
439,[HTML][HTML] Machine learning-based automatic control of tunneling posture of shield machine,"H Huang, J Chang, D Zhang, J Zhang, H Wu… - Journal of Rock …, 2022 - Elsevier",Cited by 55
440,Review of machine learning techniques for EEG based brain computer interface,"S Aggarwal, N Chugh - Archives of Computational Methods in …, 2022 - Springer",Cited by 180
441,[HTML][HTML] Flood forecasting with machine learning models in an operational framework,"S Nevo, E Morin, A Gerzi Rosenthal… - Hydrology and Earth …, 2022 - hess.copernicus.org",Cited by 110
442,Predicting individual learning performance using machine‐learning hybridized with the teaching‐learning‐based optimization,"M Arashpour, EM Golafshani… - Computer …, 2023 - Wiley Online Library",Cited by 44
443,Hybrid model for detection of cervical cancer using causal analysis and machine learning techniques,"UK Lilhore, M Poongodi, A Kaur… - … Methods in Medicine, 2022 - Wiley Online Library",Cited by 157
444,Reimagining the machine learning life cycle to improve educational outcomes of students,"LT Liu, S Wang, T Britton… - Proceedings of the …, 2023 - National Acad Sciences",Cited by 23
445,[HTML][HTML] Precision agriculture using IoT data analytics and machine learning,"R Akhter, SA Sofi - Journal of King Saud University-Computer and …, 2022 - Elsevier",Cited by 355
446,Applications of machine learning in perovskite materials,"Z Wang, M Yang, X Xie, C Yu, Q Jiang… - … Composites and Hybrid …, 2022 - Springer",Cited by 57
447,"[PDF][PDF] Data Valuation in Machine Learning:"" Ingredients"", Strategies, and Open Challenges.","RHL Sim, X Xu, BKH Low - IJCAI, 2022 - comp.nus.edu.sg",Cited by 45
448,Internet of things and machine learning-integrated smart robotics,"BU Maheswari, SS Imambi, D Hasan… - … on Robotics and …, 2023 - igi-global.com",Cited by 50
449,DDoS detection using machine learning techniques,"R Amrish, K Bavapriyan, V Gopinaath… - Journal of IoT in …, 2022 - irojournals.com",Cited by 42
450,Applications of artificial intelligence and machine learning algorithms to crystallization,"C Xiouras, F Cameli, GL Quillo… - Chemical …, 2022 - ACS Publications",Cited by 59
451,[HTML][HTML] Machine learning in crime prediction,"K Jenga, C Catal, G Kar - Journal of Ambient Intelligence and Humanized …, 2023 - Springer",Cited by 39
452,[HTML][HTML] AI-powered ensemble machine learning to optimize cost strategies in logistics business,"C Yaiprasert, AN Hidayanto - International Journal of Information …, 2024 - Elsevier",Cited by 33
453,Causal machine learning for healthcare and precision medicine,"P Sanchez, JP Voisey, T Xia… - Royal Society …, 2022 - royalsocietypublishing.org",Cited by 88
454,The significance of machine learning in clinical disease diagnosis: A review,"SM Rahman, S Ibtisum, E Bazgir, T Barai - arXiv preprint arXiv:2310.16978, 2023 - arxiv.org",Cited by 31
455,[HTML][HTML] Landslide susceptibility mapping using machine learning: A literature survey,"M Ado, K Amitab, AK Maji, E Jasińska, R Gono… - Remote Sensing, 2022 - mdpi.com",Cited by 91
456,Prediction of strength and analysis in self-compacting concrete using machine learning based regression techniques,"SA Rajakarunakaran, AR Lourdu, S Muthusamy… - … in Engineering Software, 2022 - Elsevier",Cited by 76
457,Skin cancer detection using ensemble of machine learning and deep learning techniques,"JV Tembhurne, N Hebbar, HY Patil, T Diwan - Multimedia Tools and …, 2023 - Springer",Cited by 57
458,IoT Security Based on Machine Learning,"RK Vanakamamidi, L Ramalingam… - … For Smart Nation …, 2023 - ieeexplore.ieee.org",Cited by 32
459,Integrating Machine Learning and AI for Improved Hydrological Modeling and Water Resource Management,"DMS Zekrifa, M Kulkarni, A Bhagyalakshmi… - … Applications in Water …, 2023 - igi-global.com",Cited by 57
460,[HTML][HTML] Machine learning in clinical trials: A primer with applications to neurology,"MI Miller, LC Shih, VB Kolachalama - Neurotherapeutics, 2023 - Elsevier",Cited by 20
461,Exploiting symmetry in variational quantum machine learning,"JJ Meyer, M Mularski, E Gil-Fuster, AA Mele, F Arzani… - PRX Quantum, 2023 - APS",Cited by 149
462,[HTML][HTML] Brain tumor detection and classification using machine learning: a comprehensive survey,"J Amin, M Sharif, A Haldorai, M Yasmin… - Complex & intelligent …, 2022 - Springer",Cited by 253
463,[HTML][HTML] A structured analysis to study the role of machine learning and deep learning in the healthcare sector with big data analytics,"J Kumari, E Kumar, D Kumar - Archives of Computational Methods in …, 2023 - Springer",Cited by 26
464,[HTML][HTML] Using machine learning to predict antimicrobial resistance―a literature review,"A Sakagianni, C Koufopoulou, G Feretzakis, D Kalles… - Antibiotics, 2023 - mdpi.com",Cited by 42
465,[HTML][HTML] Machine learning in the detection and management of atrial fibrillation,"FK Wegner, L Plagwitz, F Doldi, C Ellermann… - Clinical Research in …, 2022 - Springer",Cited by 39
466,Machine learning in scanning transmission electron microscopy,"SV Kalinin, C Ophus, PM Voyles, R Erni… - Nature Reviews …, 2022 - nature.com",Cited by 96
467,Predicting is not understanding: Recognizing and addressing underspecification in machine learning,"D Teney, M Peyrard, E Abbasnejad - European Conference on Computer …, 2022 - Springer",Cited by 24
468,… For Bias In Machine Learning And Opportunities For Health Insurers To Address It: Article examines the potential for bias in machine learning and opportunities for …,"SS Gervasi, IY Chen, A Smith-McLallen, D Sontag… - Health …, 2022 - healthaffairs.org",Cited by 54
469,Medical machine learning based on multiobjective evolutionary algorithm using learning decomposition,"M Wang, X Li, L Chen, H Chen - Expert Systems with Applications, 2023 - Elsevier",Cited by 25
470,[HTML][HTML] Super-resolution analysis via machine learning: a survey for fluid flows,"K Fukami, K Fukagata, K Taira - Theoretical and Computational Fluid …, 2023 - Springer",Cited by 71
471,[HTML][HTML] Application of machine learning algorithms to predict the thyroid disease risk: an experimental comparative study,"SS Islam, MS Haque, MSU Miah, TB Sarwar… - PeerJ Computer …, 2022 - peerj.com",Cited by 55
472,[HTML][HTML] Machine learning methods for cancer classification using gene expression data: A review,"F Alharbi, A Vakanski - Bioengineering, 2023 - mdpi.com",Cited by 74
473,Accurate global machine learning force fields for molecules with hundreds of atoms,"S Chmiela, V Vassilev-Galindo, OT Unke… - Science …, 2023 - science.org",Cited by 95
474,[HTML][HTML] Machine learning with multimodal data for COVID-19,"W Chen, RC Sá, Y Bai, S Napel, O Gevaert… - Heliyon, 2023 - cell.com",Cited by 11
475,Quantum machine learning for image classification,"A Senokosov, A Sedykh, A Sagingalieva… - Machine Learning …, 2024 - iopscience.iop.org",Cited by 42
476,"Application of machine learning, deep learning and optimization algorithms in geoengineering and geoscience: Comprehensive review and future challenge","W Zhang, X Gu, L Tang, Y Yin, D Liu, Y Zhang - Gondwana Research, 2022 - Elsevier",Cited by 198
477,"AI and machine learning ethics, law, diversity, and global impact","K Drabiak, S Kyzer, V Nemov… - The British journal of …, 2023 - academic.oup.com",Cited by 19
478,Machine learning techniques in emerging cloud computing integrated paradigms: A survey and taxonomy,"D Soni, N Kumar - Journal of Network and Computer Applications, 2022 - Elsevier",Cited by 72
479,Shear strength prediction of reinforced concrete beams using machine learning,"MS Sandeep, K Tiprak, S Kaewunruen, P Pheinsusom… - Structures, 2023 - Elsevier",Cited by 44
480,[HTML][HTML] Detecting and analyzing suicidal ideation on social media using deep learning and machine learning models,"THH Aldhyani, SN Alsubari, AS Alshebami… - International journal of …, 2022 - mdpi.com",Cited by 67
481,Persistent-homology-based machine learning: a survey and a comparative study,"CS Pun, SX Lee, K Xia - Artificial Intelligence Review, 2022 - Springer",Cited by 71
482,[HTML][HTML] A comparative study of classification and prediction of Cardio-Vascular Diseases (CVD) using Machine Learning and Deep Learning techniques,"M Swathy, K Saruladha - ICT express, 2022 - Elsevier",Cited by 134
483,[HTML][HTML] Groundwater level modeling with machine learning: a systematic review and meta-analysis,"A Ahmadi, M Olyaei, Z Heydari, M Emami… - Water, 2022 - mdpi.com",Cited by 67
484,[HTML][HTML] Leakage and the reproducibility crisis in machine-learning-based science,"S Kapoor, A Narayanan - Patterns, 2023 - cell.com",Cited by 160
485,[HTML][HTML] Renewable energy management in smart grids by using big data analytics and machine learning,"N Mostafa, HSM Ramadan, O Elfarouk - Machine Learning with …, 2022 - Elsevier",Cited by 128
486,Machine Learning in Information Systems Research.,"B Padmanabhan, X Fang, N Sahoo… - MIS …, 2022 - search.ebscohost.com",Cited by 61
487,A look inside the black box of machine learning photodynamics simulations,"J Li, SA Lopez - Accounts of Chemical Research, 2022 - ACS Publications",Cited by 26
488,[HTML][HTML] Applications of data mining and machine learning framework in aquaculture and fisheries: A review,"J Gladju, BS Kamalam, A Kanagaraj - Smart Agricultural Technology, 2022 - Elsevier",Cited by 109
489,Introducing stacking machine learning approaches for the prediction of rock deformation,"M Koopialipoor, PG Asteris, AS Mohammed… - Transportation …, 2022 - Elsevier",Cited by 90
490,Curriculum graph machine learning: A survey,"H Li, X Wang, W Zhu - arXiv preprint arXiv:2302.02926, 2023 - arxiv.org",Cited by 16
491,[HTML][HTML] Extracting spatial effects from machine learning model using local interpretation method: An example of SHAP and XGBoost,"Z Li - Computers, Environment and Urban Systems, 2022 - Elsevier",Cited by 240
492,Machine learning accelerates the materials discovery,"J Fang, M Xie, X He, J Zhang, J Hu, Y Chen… - Materials Today …, 2022 - Elsevier",Cited by 54
493,Prediction of agriculture yields using machine learning algorithms,"VK Gunjan, S Kumar, MD Ansari… - … in Machine Learning, IoT …, 2022 - Springer",Cited by 39
494,"[HTML][HTML] 3D printing of biodegradable polymers and their composites–Current state-of-the-art, properties, applications, and machine learning for potential future …","SAV Dananjaya, VS Chevali, JP Dear, P Potluri… - Progress in Materials …, 2024 - Elsevier",Cited by 5
495,Zeno: An interactive framework for behavioral evaluation of machine learning,"ÁA Cabrera, E Fu, D Bertucci, K Holstein… - Proceedings of the …, 2023 - dl.acm.org",Cited by 41
496,[HTML][HTML] Malware threat affecting financial organization analysis using machine learning approach,"R Rawat, SK Sarangi, YN Rimal, P William… - International Journal of …, 2022 - igi-global.com",Cited by 110
497,[HTML][HTML] Twelve key challenges in medical machine learning and solutions,"RJ Ellis, RM Sander, A Limon - Intelligence-Based Medicine, 2022 - Elsevier",Cited by 28
498,"Machine learning and AI in cancer prognosis, prediction, and treatment selection: a critical approach","B Zhang, H Shi, H Wang - Journal of multidisciplinary healthcare, 2023 - Taylor & Francis",Cited by 79
499,Machine learning: an advanced platform for materials development and state prediction in lithium‐ion batteries,"C Lv, X Zhou, L Zhong, C Yan, M Srinivasan… - Advanced …, 2022 - Wiley Online Library",Cited by 226
500,The rise of machine learning in polymer discovery,"C Yan, G Li - Advanced Intelligent Systems, 2023 - Wiley Online Library",Cited by 29
501,"Factor models, machine learning, and asset pricing","S Giglio, B Kelly, D Xiu - Annual Review of Financial Economics, 2022 - annualreviews.org",Cited by 109
502,Prediction of diabetes empowered with fused machine learning,"U Ahmed, GF Issa, MA Khan, S Aftab, MF Khan… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 163
503,"Machine learning in precision agriculture: a survey on trends, applications and evaluations over two decades","S Condran, M Bewong, MZ Islam, L Maphosa… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 58
504,[HTML][HTML] Diabetes detection based on machine learning and deep learning approaches,"BF Wee, S Sivakumar, KH Lim, WK Wong… - Multimedia Tools and …, 2024 - Springer",Cited by 27
505,[HTML][HTML] Photonic machine learning with on-chip diffractive optics,"T Fu, Y Zang, Y Huang, Z Du, H Huang, C Hu… - Nature …, 2023 - nature.com",Cited by 106
506,[HTML][HTML] Novel machine learning based approach for analysing the adoption of metaverse in medical training: A UAE case study,"SA Salloum, A Bettayeb, A Salloum, A Aburayya… - Informatics in Medicine …, 2023 - Elsevier",Cited by 63
507,Detection of network attacks using machine learning and deep learning models,"KA Dhanya, S Vajipayajula, K Srinivasan… - Procedia Computer …, 2023 - Elsevier",Cited by 40
508,[HTML][HTML] Protein–ligand docking in the machine-learning era,"C Yang, EA Chen, Y Zhang - Molecules, 2022 - mdpi.com",Cited by 84
509,"Andrew ng, ai minimalist: The machine-learning pioneer says small is the new big","E Strickland - IEEE spectrum, 2022 - ieeexplore.ieee.org",Cited by 101
510,"The carbon footprint of machine learning training will plateau, then shrink","D Patterson, J Gonzalez, U Hölzle, Q Le, C Liang… - Computer, 2022 - ieeexplore.ieee.org",Cited by 289
511,Liver disease prediction using machine learning classification techniques,"K Gupta, N Jiwani, N Afreen… - 2022 IEEE 11th …, 2022 - ieeexplore.ieee.org",Cited by 82
512,[HTML][HTML] Machine learning and smart devices for diabetes management: Systematic review,"MA Makroum, M Adda, A Bouzouane, H Ibrahim - Sensors, 2022 - mdpi.com",Cited by 95
513,[HTML][HTML] A new machine learning method for predicting systolic and diastolic blood pressure using clinical characteristics,"A Shrivastava, M Chakkaravarthy, MA Shah - Healthcare Analytics, 2023 - Elsevier",Cited by 75
514,[HTML][HTML] Enhancing the early detection of chronic kidney disease: a robust machine learning model,"MS Arif, A Mukheimer, D Asif - Big Data and Cognitive Computing, 2023 - mdpi.com",Cited by 30
515,Deploying machine learning techniques for human emotion detection,"AI Siam, NF Soliman, AD Algarni… - Computational …, 2022 - Wiley Online Library",Cited by 77
516,[Retracted] Monitoring Cardiovascular Problems in Heart Patients Using Machine Learning,"A Al Ahdal, M Rakhra, RR Rajendran… - Journal of healthcare …, 2023 - Wiley Online Library",Cited by 34
