,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
517,Recent advances in thermal imaging and its applications using machine learning: A review,"AN Wilson, KA Gupta, BH Koduru, A Kumar…",2023," IEEE Sensors …,",ieeexplore.ieee.org,48,24.0
518,Modern applications of machine learning in quantum sciences,"A Dawid, J Arnold, B Requena, A Gresch…",2022," arXiv preprint arXiv …,",arxiv.org,66,22.0
519,Bug characterization in machine learning-based systems,"MM Morovati, A Nikanjam, F Tambon, F Khomh…",2024," Empirical Software …,",Springer,28,28.0
520,Machine-learning-based methods for acoustic emission testing: a review,"G Ciaburro, G Iannace",2022," Applied Sciences,",mdpi.com,55,18.333333333333332
521,Early prediction of hypothyroidism and multiclass classification using predictive machine learning and deep learning,"K Guleria, S Sharma, S Kumar, S Tiwari",2022," Measurement: Sensors,",Elsevier,130,43.333333333333336
522,Cloud-based in-situ battery life prediction and classification using machine learning,"Y Zhang, M Zhao",2023," Energy Storage Materials,",Elsevier,64,32.0
523,Machine learning and deep learning in phononic crystals and metamaterials–A review,"J Kennedy, CW Lim",2022," Materials Today Communications,",Elsevier,61,20.333333333333332
524,Machine Learning in Nonlinear Material Physics,"SM Abdulrahman, RR Asaad…",2024," Journal of Soft …,",penerbit.uthm.edu.my,5,5.0
525,Robust machine learning algorithms for predicting coastal water quality index,"MG Uddin, S Nash, MTM Diganta, A Rahman…",2022," Journal of …,",Elsevier,123,41.0
526,Breast cancer detection based on thermographic images using machine learning and deep learning algorithms,VR Allugunti,2022," International Journal of Engineering in Computer …,",researchgate.net,206,68.66666666666667
527,Machine learning and acute stroke imaging,"SA Sheth, L Giancardo, M Colasurdo…",2023," Journal of …,",jnis.bmj.com,37,18.5
528,Machine learning for diagnosis of myocardial infarction using cardiac troponin concentrations,"D Doudesis, KK Lee, J Boeddinghaus, A Bularga…",2023," Nature Medicine,",nature.com,57,28.5
529,Efficient wind power prediction using machine learning methods: A comparative study,"A Alkesaiberi, F Harrou, Y Sun",2022," Energies,",mdpi.com,91,30.333333333333332
530,Machine learning for the study of plankton and marine snow from images,"JO Irisson, SD Ayata, DJ Lindsay…",2022," Annual Review of …,",annualreviews.org,84,28.0
531,Phishing website detection with semantic features based on machine learning classifiers: a comparative study,"A Almomani, M Alauthman, MT Shatnawi…",2022," … Journal on Semantic …,",igi-global.com,156,52.0
532,Machine learning and the city: applications in architecture and urban design,S Carta,2022,,books.google.com,20,6.666666666666667
533,How to dp-fy ml: A practical guide to machine learning with differential privacy,"N Ponomareva, H Hazimeh, A Kurakin, Z Xu…",2023," Journal of Artificial …,",jair.org,109,54.5
534,Crime analysis using computer vision approach with machine learning,"P William, A Shrivastava…",2023," … Communications and 5G …,",Springer,59,29.5
535,Machine learning and structural health monitoring overview with emerging technology and high-dimensional data source highlights,"A Malekloo, E Ozer, M AlHamaydeh…",2022," Structural Health …,",journals.sagepub.com,312,104.0
536,Predictions of steel price indices through machine learning for the regional northeast Chinese market,"B Jin, X Xu",2024," Neural Computing and Applications,",Springer,5,5.0
537,Modeling the machine learning multiverse,"SJ Bell, O Kampman, J Dodge…",2022," Advances in Neural …,",proceedings.neurips.cc,20,6.666666666666667
538,Machine learning-aided operations and communications of unmanned aerial vehicles: A contemporary survey,"H Kurunathan, H Huang, K Li, W Ni…",2023," … Surveys & Tutorials,",ieeexplore.ieee.org,62,31.0
539,Machine learning on a robotic platform for the design of polymer–protein hybrids,"MJ Tamasi, RA Patel, CH Borca, S Kosuri…",2022," Advanced …,",Wiley Online Library,92,30.666666666666668
540,Machine learning and deep learning modeling and simulation for predicting PM2. 5 concentrations,"J Peng, H Han, Y Yi, H Huang, L Xie",2022," Chemosphere,",Elsevier,44,14.666666666666666
541,Modeling the mechanical properties of recycled aggregate concrete using hybrid machine learning algorithms,"Y Peng, C Unluer",2023," Resources, Conservation and Recycling,",Elsevier,75,37.5
542,Use of multi-modal data and machine learning to improve cardiovascular disease care,"S Amal, L Safarnejad, JA Omiye, I Ghanzouri…",2022," Frontiers in …,",frontiersin.org,76,25.333333333333332
543,A Comparative Study of Machine Learning classifiers to analyze the Precision of Myocardial Infarction prediction,"RH Khan, J Miah, SAA Nipun…",2023,,ieeexplore.ieee.org,30,15.0
544,DiversityScanner: Robotic handling of small invertebrates with machine learning methods,"L Wührl, C Pylatiuk, M Giersch, F Lapp…",2022," Molecular ecology …,",Wiley Online Library,70,23.333333333333332
545,Performance of Machine Learning and Image Processing in Plant Leaf Disease Detection,"AS Zamani, L Anand, KP Rane, P Prabhu…",2022," Journal of Food …,",Wiley Online Library,125,41.666666666666664
546,"A state-of-the-art review on machine learning-based multiscale modeling, simulation, homogenization and design of materials","D Bishara, Y Xie, WK Liu, S Li",2023," Archives of computational methods in …,",Springer,77,38.5
547,… of immune microenvironment subtypes and signature genes for Alzheimer's disease diagnosis and risk prediction based on explainable machine learning,"Y Lai, P Lin, F Lin, M Chen, C Lin, X Lin, L Wu…",2022," Frontiers in …,",frontiersin.org,30,10.0
548,An interpretable machine learning approach for hepatitis b diagnosis,"G Obaido, B Ogbuokiri, TG Swart, N Ayawei…",2022," Applied sciences,",mdpi.com,50,16.666666666666668
549,Artificial intelligence and machine learning for quantum technologies,"M Krenn, J Landgraf, T Foesel, F Marquardt",2023," Physical Review A,",APS,87,43.5
550,A review on recent developments in cancer detection using Machine Learning and Deep Learning models,"S Maurya, S Tiwari, MC Mothukuri, CM Tangeda…",2023," … Signal Processing and …,",Elsevier,50,25.0
551,Computational technique based on machine learning and image processing for medical image analysis of breast cancer diagnosis,"VDP Jasti, AS Zamani, K Arumugam…",2022," Security and …,",Wiley Online Library,146,48.666666666666664
552,Detection of sql injection attack using machine learning techniques: a systematic literature review,"M Alghawazi, D Alghazzawi, S Alarifi",2022," Journal of Cybersecurity and …,",mdpi.com,84,28.0
553,Crop yield prediction using machine learning and deep learning techniques,"K Jhajharia, P Mathur, S Jain, S Nijhawan",2023," Procedia Computer Science,",Elsevier,66,33.0
554,Graph filters for signal processing and machine learning on graphs,"E Isufi, F Gama, DI Shuman…",2024," IEEE Transactions on …,",ieeexplore.ieee.org,54,54.0
555,How machine learning is used to study addiction in digital healthcare: A systematic review,"B Chhetri, LM Goyal, M Mittal",2023," International Journal of Information …,",Elsevier,26,13.0
556,Prospects and challenges of using machine learning for academic forecasting,"EM Onyema, KK Almuzaini, FU Onu…",2022," Computational …,",Wiley Online Library,30,10.0
557,Prediction of peptide mass spectral libraries with machine learning,J Cox,2023," Nature Biotechnology,",nature.com,57,28.5
558,Rainfall prediction system using machine learning fusion for smart cities,"A Rahman, S Abbas, M Gollapalli, R Ahmed, S Aftab…",2022," Sensors,",mdpi.com,108,36.0
559,A machine learning-based intrusion detection for detecting internet of things network attacks,"YK Saheed, AI Abiodun, S Misra, MK Holone…",2022," Alexandria Engineering …,",Elsevier,199,66.33333333333333
560,MapReduce based intelligent model for intrusion detection using machine learning technique,"M Asif, S Abbas, MA Khan, A Fatima, MA Khan…",2022," Journal of King Saud …,",Elsevier,179,59.666666666666664
561,Modeling potential evapotranspiration by improved machine learning methods using limited climatic data,"RR Mostafa, O Kisi, RM Adnan, T Sadeghifar, A Kuriqi",2023," Water,",mdpi.com,50,25.0
562,Machine learning-assisted approaches in modernized plant breeding programs,"M Yoosefzadeh Najafabadi, M Hesami, M Eskandari",2023," Genes,",mdpi.com,37,18.5
563,What machine learning can do for computational solid mechanics,"S Kumar, DM Kochmann",2022," Current trends and open problems in …,",Springer,48,16.0
564,Predicting the quality of air with machine learning approaches: Current research priorities and future perspectives,"K Mehmood, Y Bao, W Cheng, MA Khan…",2022," Journal of Cleaner …,",Elsevier,31,10.333333333333334
565,Applications of machine learning in thermochemical conversion of biomass-A review,"SR Naqvi, Z Ullah, SAA Taqvi, MNA Khan, W Farooq…",2023," Fuel,",Elsevier,111,55.5
566,Machine learning techniques to detect a DDoS attack in SDN: A systematic review,"TE Ali, YW Chong, S Manickam",2023," Applied Sciences,",mdpi.com,76,38.0
567,Study of E-Commerce and Impact of Machine Learning in E-Commerce,"M Sharma, V Sharma, R Kapoor",2022," Empirical Research for Futuristic E …,",igi-global.com,35,11.666666666666666
568,Machine learning and the Internet of Things security: Solutions and open challenges,"U Farooq, N Tariq, M Asim, T Baker…",2022," Journal of Parallel and …,",Elsevier,54,18.0
569,Machine learning models to accelerate the design of polymeric long-acting injectables,"P Bannigan, Z Bao, RJ Hickman, M Aldeghi…",2023," Nature …,",nature.com,77,38.5
570,Performance analysis of the water quality index model for predicting water state using machine learning techniques,"MG Uddin, S Nash, A Rahman, AI Olbert",2023," Process Safety and …,",Elsevier,122,61.0
571,Data Versioning and Its Impact on Machine Learning Models,MR Pulicharla,2024," Journal of Science & Technology,",thesciencebrigade.com,39,39.0
572,Machine learning in tissue engineering,"JL Guo, M Januszyk, MT Longaker",2023," Tissue Engineering Part A,",liebertpub.com,26,13.0
573,Solar photovoltaic power prediction using different machine learning methods,B Zazoum,2022," Energy Reports,",Elsevier,119,39.666666666666664
574,"Past, present and perspective methodology for groundwater modeling-based machine learning approaches","AIA Osman, AN Ahmed, YF Huang, P Kumar…",2022," … Methods in Engineering,",Springer,46,15.333333333333334
575,Counting carbon: A survey of factors influencing the emissions of machine learning,"AS Luccioni, A Hernandez-Garcia",2023," arXiv preprint arXiv:2302.08476,",arxiv.org,44,22.0
576,Detecting phishing domains using machine learning,"S Alnemari, M Alshammari",2023," Applied Sciences,",mdpi.com,43,21.5
577,A machine learning method for the evaluation of ship grounding risk in real operational conditions,"M Zhang, P Kujala, S Hirdaris",2022," Reliability Engineering & System Safety,",Elsevier,78,26.0
578,Towards leveraging the role of machine learning and artificial intelligence in precision agriculture and smart farming,"TA Shaikh, T Rasool, FR Lone",2022," Computers and Electronics in Agriculture,",Elsevier,402,134.0
579,A machine learning approach to volatility forecasting,"K Christensen, M Siggaard…",2023," Journal of Financial …,",academic.oup.com,104,52.0
580,Missing data is poorly handled and reported in prediction model studies using machine learning: a literature review,"SWJ Nijman, AM Leeuwenberg, I Beekers…",2022," Journal of clinical …,",Elsevier,122,40.666666666666664
581,A database of ultrastable MOFs reassembled from stable fragments with machine learning models,"A Nandy, S Yue, C Oh, C Duan, GG Terrones…",2023," Matter,",cell.com,29,14.5
582,Clinical Data Analysis for Prediction of Cardiovascular Disease Using Machine Learning Techniques,"RG Nadakinamani, A Reyana, S Kautish…",2022," Computational …,",Wiley Online Library,88,29.333333333333332
583,Flexible sensors and machine learning for heart monitoring,"SH Kwon, L Dong",2022," Nano Energy,",Elsevier,39,13.0
584,Code generation using machine learning: A systematic review,"E Dehaerne, B Dey, S Halder, S De Gendt…",2022," Ieee …,",ieeexplore.ieee.org,52,17.333333333333332
585,Machine learning models to predict the tunnel wall convergence,"J Zhou, Y Chen, C Li, Y Qiu, S Huang, M Tao",2023," Transportation Geotechnics,",Elsevier,26,13.0
586,Reviewing multimodal machine learning and its use in cardiovascular diseases detection,"M Moshawrab, M Adda, A Bouzouane, H Ibrahim…",2023," Electronics,",mdpi.com,22,11.0
587,"Reliance on artificial intelligence, machine learning and deep learning in the era of industry 4.0","TVN Rao, A Gaddam, M Kurni…",2022," Smart healthcare system …,",Wiley Online Library,44,14.666666666666666
588,Taxonomy of machine learning safety: A survey and primer,"S Mohseni, H Wang, C Xiao, Z Yu, Z Wang…",2022," ACM Computing …,",dl.acm.org,38,12.666666666666666
589,Network Security in Cyberspace Using Machine Learning Techniques,"CS Ranganathan, R Raman, KK Sutaria…",2023,,ieeexplore.ieee.org,32,16.0
590,A study of network intrusion detection systems using artificial intelligence/machine learning,"P Vanin, T Newe, LL Dhirani, E O'Connell, D O'Shea…",2022," Applied Sciences,",mdpi.com,54,18.0
591,Air Quality Index prediction using machine learning for Ahmedabad city,"NN Maltare, S Vahora",2023," Digital Chemical Engineering,",Elsevier,46,23.0
592,Temporal graph benchmark for machine learning on temporal graphs,"S Huang, F Poursafaei, J Danovitch…",2024," Advances in …,",proceedings.neurips.cc,58,58.0
593,"Big data, machine learning, and digital twin assisted additive manufacturing: A review","L Jin, X Zhai, K Wang, K Zhang, D Wu, A Nazir, J Jiang…",2024," Materials & Design,",Elsevier,10,10.0
594,Literature review of breast cancer detection using machine learning algorithms,"BS Abunasser, MRJ AL-Hiealy, IS Zaqout…",2023," AIP Conference …,",pubs.aip.org,30,15.0
595,Machine learning and phone data can improve targeting of humanitarian aid,"E Aiken, S Bellue, D Karlan, C Udry, JE Blumenstock",2022," Nature,",nature.com,150,50.0
596,Perspective: Predicting and optimizing thermal transport properties with machine learning methods,"H Wei, H Bao, X Ruan",2022," Energy and AI,",Elsevier,33,11.0
597,Integrating physics-based modeling with machine learning for lithium-ion batteries,"H Tu, S Moura, Y Wang, H Fang",2023," Applied energy,",Elsevier,70,35.0
598,Artificial intelligence: Machine learning approach for screening large database and drug discovery,"PP Parvatikar, S Patil, K Khaparkhuntikar, S Patil…",2023," Antiviral Research,",Elsevier,26,13.0
599,Optimizing Data Warehousing Performance through Machine Learning Algorithms in the Cloud,S Ahmadi,2023," International Journal of Science and Research (IJSR),",papers.ssrn.com,43,21.5
600,A systematic literature review on modern methods of construction in building: An integrated approach using machine learning,"AJ Sánchez-Garrido, IJ Navarro, J García…",2023," Journal of Building …,",Elsevier,25,12.5
601,Reviewing federated machine learning and its use in diseases prediction,"M Moshawrab, M Adda, A Bouzouane, H Ibrahim…",2023," Sensors,",mdpi.com,42,21.0
602,Diagnosis of breast cancer using machine learning techniques-a survey,"RK Yadav, P Singh, P Kashtriya",2023," Procedia Computer Science,",Elsevier,32,16.0
603,"Past, present, and future of sustainable finance: insights from big data analytics through machine learning of scholarly research","S Kumar, D Sharma, S Rao, WM Lim…",2022," Annals of Operations …,",Springer,300,100.0
604,Machine learning for educational metaverse: How far are we?,"U Bilotti, D Di Dario, F Palomba…",2023,,ieeexplore.ieee.org,18,9.0
605,DDoS attacks detection using machine learning and deep learning techniques: Analysis and comparison,"MA Al-Shareeda, S Manickam…",2023," Bulletin of Electrical …,",mail.beei.org,59,29.5
606,"Artificial intelligence, machine learning and smart technologies for nondestructive evaluation","H Taheri, M Gonzalez Bocanegra, M Taheri",2022," Sensors,",mdpi.com,45,15.0
607,Prediction of crop yield using machine learning,"MA Shaik, G Manoharan, B Prashanth…",2022," AIP Conference …,",pubs.aip.org,41,13.666666666666666
608,A literature review of machine learning algorithms for crash injury severity prediction,"K Santos, JP Dias, C Amado",2022," Journal of safety research,",Elsevier,109,36.333333333333336
609,Effectiveness of machine learning technology in detecting patterns of certain diseases within patient electronic healthcare records,"DK Sharma, DS Chakravarthi, RSK Boddu…",2022," Proceedings of Second …,",Springer,41,13.666666666666666
610,Application of machine learning in spatial proteomics,"M Mou, Z Pan, M Lu, H Sun, Y Wang…",2022," Journal of Chemical …,",ACS Publications,27,9.0
611,Artificial intelligence and machine learning in precision and genomic medicine,S Quazi,2022," Medical Oncology,",Springer,189,63.0
612,Machine learning for the prediction of acute kidney injury in patients with sepsis,"S Yue, S Li, X Huang, J Liu, X Hou, Y Zhao…",2022," Journal of translational …,",Springer,89,29.666666666666668
613,Machine learning-based time series models for effective CO2 emission prediction in India,"S Kumari, SK Singh",2023," Environmental Science and Pollution Research,",Springer,88,44.0
614,Machine learning in antibacterial drug design,"M Jukič, U Bren",2022," Frontiers in Pharmacology,",frontiersin.org,31,10.333333333333334
615,Detection of Deauthentication Threats in Wi-Fi Channels Using Machine Learning Strategies,"R Latha, RM Bommi",2022," … Conference on Data Science, Agents & …,",ieeexplore.ieee.org,54,18.0
616,Efficient medical diagnosis of human heart diseases using machine learning techniques with and without GridSearchCV,"GN Ahmad, H Fatima, S Ullah, AS Saidi",2022," IEEE Access,",ieeexplore.ieee.org,134,44.666666666666664
617,Algorithmic bias in machine learning-based marketing models,"S Akter, YK Dwivedi, S Sajib, K Biswas…",2022," Journal of Business …,",Elsevier,107,35.666666666666664
618,An Overview of Machine Learning for Asset Management.,"Y Lee, JRJ Thompson, JH Kim…",2023," Journal of Portfolio …,",search.ebscohost.com,13,6.5
619,Synthetic data as an enabler for machine learning applications in medicine,"JF Rajotte, R Bergen, DL Buckeridge, K El Emam, R Ng…",2022," Iscience,",cell.com,42,14.0
620,Machine learning in safety and health research: a scientometric analysis,"KH Abdullah, D Sofyan",2023," International Journal of Information Science and …,",ijism.isc.ac,44,22.0
621,"Machine learning approaches for smart city applications: Emergence, challenges and opportunities","S Mehta, B Bhushan, R Kumar",2022," … in internet of things and machine learning …,",Springer,35,11.666666666666666
622,Accelerating 3D printing of pharmaceutical products using machine learning,"JJ Ong, BM Castro, S Gaisford, P Cabalar…",2022," International Journal of …,",Elsevier,60,20.0
623,Groundwater level prediction using machine learning models: A comprehensive review,"H Tao, MM Hameed, HA Marhoon…",2022," Neurocomputing,",Elsevier,211,70.33333333333333
624,SliceTeller: A data slice-driven approach for machine learning model validation,"X Zhang, JP Ono, H Song, L Gou…",2022," IEEE Transactions on …,",ieeexplore.ieee.org,34,11.333333333333334
625,Explanation of machine learning models using shapley additive explanation and application for real data in hospital,"Y Nohara, K Matsumoto, H Soejima…",2022," Computer Methods and …,",Elsevier,230,76.66666666666667
626,Toward practices for human-centered machine learning,S Chancellor,2023," Communications of the ACM,",dl.acm.org,38,19.0
627,A survey on fairness for machine learning on graphs,"C Laclau, C Largeron, M Choudhary",2022," arXiv preprint arXiv:2205.05396,",arxiv.org,31,10.333333333333334
628,Enhanced credit card fraud detection model using machine learning,"NS Alfaiz, SM Fati",2022," Electronics,",mdpi.com,112,37.333333333333336
629,Crop prediction using machine learning,"MS Rao, A Singh, NVS Reddy…",2022," Journal of Physics …,",iopscience.iop.org,45,15.0
630,An artificial intelligence model for heart disease detection using machine learning algorithms,"V Chang, VR Bhavani, AQ Xu, MA Hossain",2022," Healthcare Analytics,",Elsevier,179,59.666666666666664
631,Detection Collision Flows in SDN Based 5G Using Machine Learning Algorithms.,"A Aqdus, R Amin, S Ramzan…",2023," … Materials & Continua,",cdn.techscience.cn,70,35.0
632,Energy demand forecasting using fused machine learning approaches,TM Ghazal,2022," Intelligent Automation & Soft …,",research.skylineuniversity.ac.ae,81,27.0
633,"Machine learning and deep learning based computational approaches in automatic microorganisms image recognition: methodologies, challenges, and …","P Rani, S Kotwal, J Manhas, V Sharma…",2022," … Methods in Engineering,",Springer,86,28.666666666666668
634,Diabetes prediction using machine learning and explainable AI techniques,"I Tasin, TU Nabil, S Islam…",2023," Healthcare Technology …,",Wiley Online Library,110,55.0
635,Machine learning in sustainable ship design and operation: A review,"L Huang, B Pena, Y Liu, E Anderlini",2022," Ocean Engineering,",Elsevier,32,10.666666666666666
636,Efficient removal of greenhouse gases: machine learning-assisted exploration of metal–organic framework space,"R Xin, C Wang, Y Zhang, R Peng, R Li, J Wang…",2024," ACS …,",ACS Publications,7,7.0
637,Crops yield prediction based on machine learning models: Case of West African countries,"LS Cedric, WYH Adoni, R Aworka, JT Zoueu…",2022," Smart Agricultural …,",Elsevier,115,38.333333333333336
638,Machine learning aided nanoindentation: A review of the current state and future perspectives,"ES Puchi-Cabrera, E Rossi, G Sansonetti…",2023," Current Opinion in Solid …,",Elsevier,22,11.0
639,DEM resolution effects on machine learning performance for flood probability mapping,"M Avand, A Kuriqi, M Khazaei…",2022," Journal of Hydro …,",Elsevier,98,32.666666666666664
640,Machine learning approach for autonomous detection and classification of COVID-19 virus,"OR Shahin, HH Alshammari, AI Taloba…",2022," Computers and …,",Elsevier,51,17.0
641,Machine learning for enhancing transportation security: A comprehensive analysis of electric and flying vehicle systems,"H Alqahtani, G Kumar",2024," Engineering Applications of Artificial Intelligence,",Elsevier,45,45.0
642,"Machine learning methods, databases and tools for drug combination prediction","L Wu, Y Wen, D Leng, Q Zhang, C Dai…",2022," Briefings in …,",academic.oup.com,71,23.666666666666668
643,A survey: Distributed Machine Learning for 5G and beyond,"O Nassef, W Sun, H Purmehdi, M Tatipamula…",2022," Computer Networks,",Elsevier,58,19.333333333333332
644,Deep learning and machine learning with grid search to predict later occurrence of breast Cancer metastasis using clinical data,"X Jiang, C Xu",2022," Journal of clinical medicine,",mdpi.com,62,20.666666666666668
645,Methodological conduct of prognostic prediction models developed using machine learning in oncology: a systematic review,"P Dhiman, J Ma, CL Andaur Navarro, B Speich…",2022," BMC medical research …,",Springer,61,20.333333333333332
646,Remaining Useful Life prediction and challenges: A literature review on the use of Machine Learning Methods,"C Ferreira, G Gonçalves",2022," Journal of Manufacturing Systems,",Elsevier,141,47.0
647,Machine-learning interpretability techniques for seismic performance assessment of infrastructure systems,"S Mangalathu, K Karthikeyan, DC Feng, JS Jeon",2022," Engineering Structures,",Elsevier,88,29.333333333333332
648,A comprehensive empirical study of bias mitigation methods for machine learning classifiers,"Z Chen, JM Zhang, F Sarro, M Harman",2023," ACM Transactions on Software …,",dl.acm.org,61,30.5
649,Artificial intelligence and machine learning in finance: A bibliometric review,"S Ahmed, MM Alshater, A El Ammari…",2022," Research in International …,",Elsevier,200,66.66666666666667
650,A review of hydrodynamic and machine learning approaches for flood inundation modeling,"F Karim, MA Armin, D Ahmedt-Aristizabal…",2023," Water,",mdpi.com,42,21.0
651,Ground truth tracings (GTT): On the epistemic limits of machine learning,EB Kang,2023," Big data & society,",journals.sagepub.com,22,11.0
652,When confidence meets accuracy: Exploring the effects of multiple performance indicators on trust in machine learning models,"A Rechkemmer, M Yin",2022, Proceedings of the,dl.acm.org,80,26.666666666666668
653,Multibody dynamics and control using machine learning,"A Hashemi, G Orzechowski, A Mikkola…",2023," Multibody System …,",Springer,25,12.5
654,Prediction of critical filling of a storage area network by machine learning methods,"IS Masich, VS Tynchenko, VA Nelyub, VV Bukhtoyarov…",2022," Electronics,",mdpi.com,45,15.0
655,Interpretable models for extrapolation in scientific machine learning,"ES Muckley, JE Saal, B Meredig, CS Roper…",2023," Digital …,",pubs.rsc.org,26,13.0
656,The disagreement problem in explainable machine learning: A practitioner's perspective,"S Krishna, T Han, A Gu, J Pombra, S Jabbari…",2022," arXiv preprint arXiv …,",arxiv.org,199,66.33333333333333
657,SurvSHAP (t): time-dependent explanations of machine learning survival models,"M Krzyziński, M Spytek, H Baniecki, P Biecek",2023," Knowledge-Based Systems,",Elsevier,60,30.0
658,Machine learning for forecasting a photovoltaic (PV) generation system,"C Scott, M Ahsan, A Albarbar",2023," Energy,",Elsevier,47,23.5
659,A machine learning model to predict the pyrolytic kinetics of different types of feedstocks,"S Wang, Z Shi, Y Jin, IN Zaini, Y Li, C Tang…",2022," Energy Conversion and …,",Elsevier,35,11.666666666666666
660,A predictive analytics approach for stroke prediction using machine learning and neural networks,"S Dev, H Wang, CS Nwosu, N Jain, B Veeravalli…",2022," Healthcare …,",Elsevier,132,44.0
661,Disclosure sentiment: Machine learning vs. dictionary methods,"R Frankel, J Jennings, J Lee",2022," Management Science,",pubsonline.informs.org,102,34.0
662,Novel machine learning applications on fly ash based concrete: an overview,"G Khambra, P Shukla",2023," Materials Today: Proceedings,",Elsevier,106,53.0
663,Disease analysis using machine learning approaches in healthcare system,"HK Bhuyan, V Ravi, B Brahma, NK Kamila",2022," Health and Technology,",Springer,24,8.0
664,Change detection in remote sensing image data comparing algebraic and machine learning methods,"A Goswami, D Sharma, H Mathuku, SMP Gangadharan…",2022," Electronics,",mdpi.com,161,53.666666666666664
665,Machine learning for smart agriculture and precision farming: towards making the fields talk,"TA Shaikh, WA Mir, T Rasool, S Sofi",2022," Archives of Computational Methods …,",Springer,81,27.0
666,Adversarial machine learning for network intrusion detection systems: A comprehensive survey,"K He, DD Kim, MR Asghar",2023," IEEE Communications Surveys & …,",ieeexplore.ieee.org,137,68.5
667,"Mapping of machine learning approaches for description, prediction, and causal inference in the social and health sciences","AK Leist, M Klee, JH Kim, DH Rehkopf, SPA Bordas…",2022," Science …,",science.org,51,17.0
668,Robustness of local predictions in atomistic machine learning models,"S Chong, F Grasselli, C Ben Mahmoud…",2023," Journal of Chemical …,",ACS Publications,17,8.5
669,The role of artificial intelligence and machine learning amid the COVID-19 pandemic: What lessons are we learning on 4IR and the sustainable development …,D Mhlanga,2022," International Journal of Environmental Research and …,",mdpi.com,129,43.0
670,Machine learning and deep learning techniques for breast cancer diagnosis and classification: a comprehensive review of medical imaging studies,"M Radak, HY Lafta, H Fallahi",2023," Journal of Cancer Research and Clinical …,",Springer,39,19.5
671,First machine learning gravitational-wave search mock data challenge,"MB Schäfer, O Zelenka, AH Nitz, H Wang, S Wu…",2023," Physical Review D,",APS,43,21.5
672,Navigating the future: integrating AI and machine learning in hr practices for a digital workforce,"CG Okatta, FA Ajayi, O Olawale",2024," Computer Science & IT Research …,",fepbl.com,42,42.0
673,Predicting air quality index using ensemble machine learning,"M Hardini, RA Sunarjo, M Asfi, MHR Chakim…",2023," ADI Journal on Recent …,",adi-journal.org,24,12.0
674,A machine learning application in wine quality prediction,"P Bhardwaj, P Tiwari, K Olejar Jr, W Parr…",2022," Machine Learning with …,",Elsevier,57,19.0
675,Divination of air quality assessment using ensembling machine learning approach,"P William, DN Paithankar, PM Yawalkar…",2023,,ieeexplore.ieee.org,41,20.5
676,Review of machine learning approach on credit card fraud detection,"R Bin Sulaiman, V Schetinin, P Sant",2022," Human-Centric Intelligent Systems,",Springer,117,39.0
677,Complex features extraction with deep learning model for the detection of COVID19 from CT scan images using ensemble based machine learning approach,"MR Islam, M Nahiduzzaman",2022," Expert Systems with Applications,",Elsevier,98,32.666666666666664
678,A survey and taxonomy of loss functions in machine learning,"L Ciampiconi, A Elwood, M Leonardi…",2023," arXiv preprint arXiv …,",arxiv.org,33,16.5
679,"Revolutionizing municipal solid waste management (MSWM) with machine learning as a clean resource: Opportunities, challenges and solutions","MT Munir, B Li, M Naqvi",2023," Fuel,",Elsevier,24,12.0
680,Application of machine learning for cytometry data,"Z Hu, S Bhattacharya, AJ Butte",2022," Frontiers in immunology,",frontiersin.org,43,14.333333333333334
681,Predicting measures of soil health using the microbiome and supervised machine learning,"RC Wilhelm, HM van Es, DH Buckley",2022," Soil Biology and Biochemistry,",Elsevier,98,32.666666666666664
682,Time-series forecasting of seasonal items sales using machine learning–A comparative analysis,"Y Ensafi, SH Amin, G Zhang, B Shah",2022," International Journal of Information …,",Elsevier,204,68.0
683,Predicting sentiment and rating of tourist reviews using machine learning,"K Puh, M Bagić Babac",2023," Journal of hospitality and tourism insights,",emerald.com,63,31.5
684,Machine learning for enhanced regional seismic risk assessments,"P Kourehpaz, C Molina Hutt",2022," Journal of Structural Engineering,",ascelibrary.org,37,12.333333333333334
685,Security enhancement by identifying attacks using machine learning for 5G network,"H Keserwani, H Rastogi, AZ Kurniullah…",2022," International Journal …,",researchgate.net,46,15.333333333333334
686,Recent advances in machine learning research for nanofluid-based heat transfer in renewable energy system,"P Sharma, Z Said, A Kumar, S Nizetic, A Pandey…",2022," Energy & …,",ACS Publications,218,72.66666666666667
687,Lift: Language-interfaced fine-tuning for non-language machine learning tasks,"T Dinh, Y Zeng, R Zhang, Z Lin…",2022," Advances in …,",proceedings.neurips.cc,94,31.333333333333332
688,Early-stage Alzheimer's disease prediction using machine learning models,"C Kavitha, V Mani, SR Srividhya, OI Khalaf…",2022," Frontiers in public …,",frontiersin.org,164,54.666666666666664
689,News-based intelligent prediction of financial markets using text mining and machine learning: A systematic literature review,"MN Ashtiani, B Raahemi",2023," Expert Systems with Applications,",Elsevier,89,44.5
690,Predicting mental health illness using machine learning algorithms,"K Vaishnavi, UN Kamath, BA Rao…",2022," Journal of Physics …,",iopscience.iop.org,45,15.0
691,A novel approach for estimating and predicting uncertainty in water quality index model using machine learning approaches,"MG Uddin, S Nash, A Rahman, AI Olbert",2023," Water Research,",Elsevier,113,56.5
